"original address",latitude,longitude
". Concord-Bay Pharmacy	173, Effurun/Sapele Rd., Effurun",,
". Ena Pharmaceuticals	45, Airport Rd. Effurun",,
". Fabok Pharmacy	157, Jakpa Rd., Effurun",,
". G.M.D. Pharm & Cchem. Ltd	110, Enerhihen Rd., Opp. Faith Victory Church, Effurun",,
". Henamed Pharmacy	1, Alegbo Rd., Off PTI Rd., Effurun",,
". Joen Pharmacy	102, Jakpa Rd., Effurun",,
". Jofej Pharmacy	9, Urhumarho St. Effurun",,
". Johnson & Joe's Chemist	84, Effurun-Sapele Rd., Effurun",,
". Medfield Pharmacy	41, Effurun-Warri Rd., Effurun",42.187583,-71.30646
". Osa Pharmacy Co.	32, Udu Rd., Ovwian, Effurun",,
". Rehoboth Pharmacy	1, Najomo St., Effurun",,
". Sakus Pharmacy	23, PTI Road, Effurun",,
". Supamed Pharmaceutical Ltd	94, Jakpa Rd., Effurun",,
". Amen Pharmacy	5, Adeola Rd., Sapele",,
". His Majesty Pharmacy	201, Sapele/Warri Rd., OKirighwre, Sapele",,
". Hosanna Pharm.	14, Market Rd., Sapele",,
". Ichie Benson Pharmaceutical Co.	9, Hausa Rd., Sapele",,
". Peter Ughwubrusi Chemists	43, Market Rd., Sapele",,
". Santa Chemists Ltd	45, Ogodo Rd., Sapele",,
". Bowspring Pharmacy	17, Ogunu Rd., Warri",,
". Clalpha Pharmacy	120, Okumagba Avenue, Warri",,
". Credo Pharmacy	4, Airport Rd., Opp. Kosini Junction, Warri",,
". Dosen Chemist Ltd	143, Warri-Sapele Rd., Warri",,
". Downtown Pharmacy	118, Okumagba Avenue, Warri",,
". Global Pharmacy Ltd	73, Jakpa Rd., Effurun, Warri",5.564064,5.754672
". Greso Pharmacy	27, NNPC Housing Complex Rd., Ekpan, Warri",,
"original address",latitude,longitude
". JayCare Pharmacy & Stores	Plot 281, Airport Rd., Warri",,
". Joen Pharmacy	102, Jakpa Rd., Effurun, Warri",5.564064,5.754672
". Johnson & Joe's Chemist	57, Ginuwa Rd., Warri",,
". Lifelord Pharmaceuticals Ltd	49, Okere Rd., Warri",,
". Mano Pharmacy	34, Cemetry Rd., Warri",,
". Medvic Pharmacy	128, Warri-Sapele Rd., Warri",,
". Mopam Pharmacy	17, Warri/Sapele Rd., Warri",,
". Mover P. Pharmacy	30, Enerhen Rd., Warri",,
". Paz Pharm Co. Ltd	5, Ometan St., Warri",,
". Pharmaserve Ltd	129, Ajamimogha Rd., Warri",,
". Rosa Mystica Pharm. Ltd	73, Warri/Sapele Rd., Warri",,
". Rovena Pharm Stores	2,Ometa Rd., Warri",,
". S.F. Dimensional Pharmacy	15, Robert Rd., Warri",37.77493,-122.419416
". Sakus Pharmacy	23, PTI Road, Effurun, Warri",5.56353,5.794662
". Sonnoh Chemists	78, Upper Erejuwa Rd., Warri",,
". Splendour Pharmaceutical Ltd	1, Ugborikoko Rd. Ugborikoko, Warri",,
". Festy Pharmacy	13, Old Lagos/Asaba Rd., Agbor",,
". Arhomed Pharmacy	30A 1st Urhusi St., Eku",,
". Evergreen Pharmacy	99, Umejei Rd., Ibusa",39.633321,-105.317215
". Ulticare Lyka Pharm. Ltd	KM. 10, Ibusa/Asaba Rd. Ibusa",,
". Sacred Medicare Pharm.	8,Umusadege Rd., Kwale",-4.181611,39.460561
". First Health Pharm.	3, Oghara Junction, Oghara",,
". Osco Pharmacy & Stores	43, Isoko Rd., Ughelli",,
". Dieveta Pharmacy	13, Ighwereko St., Ughelli",,
". Bishan Pharmacy Ltd	1A, Water Works Rd., Abakaliki",6.323061,8.112012
". Ceno Pharmacy Ltd	5, Ziks Avenue, Abakaliki",6.323061,8.112012
". Ekoh Drugs Company Ltd	4B, Ogoja Rd., Abakaliki",6.315967,8.127493
". Goddal Pharmacy Ltd	29, Ojeowere Str., Abakaliki",6.323061,8.112012
". Jenco Pharmacy Ltd	14, Water Works Rd., Abakaliki",6.323061,8.112012
". Mid Town Pharm. Ltd	13, Ziks Avenue, Abakaliki",6.323061,8.112012
". Sun Pharmacy Ltd	23, Afikpo Str., Abakaliki",6.323061,8.112012
". A.N. Mentus Chemists Ltd	8/21, Ikpoba Hill, Benin City",,
". Aguan Daisee Pharm. & Stores Ltd	Derate Hotel, Ekosodin",,
". Aiges Nig. Ltd	249, Ugbowo-Lagos Rd., Ugbowo, Benin City",6.385362,5.609684
". Airen Pharmacy Ltd	87A, Sapele Rd., Benin City",,
". Andison Charlfort & Co. Ltd	9, Ogba Rd., Benin City",,
". Anka Chemists Ltd	118, Mission Rd., Benin City",,
". Applepharma Nig. Ltd	61, Adesuwa Rd., Rd., G.R.A. Benin City",,
". B.P.& C Pharmacy Ltd	32B, Umagbae Str., Off Upper Sokponba Rd., Benin City",,
". Bidala Pharmacy Ltd	32, Agho Str., Benin City",,
". Brightway Chemists Ltd	237A Ugbowo Lagos Rd., Benin City",6.385362,5.609684
". Bube Pharm. Ltd	89, Ekenwan Rd., Benin City",,
". Cedar Pharmacy Ltd	44, 1st East Circular Rd., Benin City",,
". Cee & Jay Co. Nig. Ltd	52, Ihama Rd., G.R.A. Benini City",,
". Chrisol Pharm. Nig Ltd	35, Murtala Mohammed Way, Benin City",,
". Clanosa Pharmacy Ltd	162B, Uselu-Lagos Rd., Benin City",6.353261,5.627453
". Clem Stelid Nig. Ltd	83, Benin-Auchi Rd., Aduwawa, Benin City",,
". COHECPPS Nig. Ltd	143, 2nd East Circular Rd., Benin City",,
". Coka Chemists & Stores	17, Adesuwa Rd., Etete, G.R.A. Benin City",,
". Cystus Pharmacy	8, Uwasota Rd., Benin City",,
". D.C. Kenny Ventures Nig. Ltd	28, Wire Rd., Benin City",38.907192,-77.036871
". Demola Pharmacy Ltd	3, Adesuwa Rd., G.R.A. Benin City",,
". De-Newman Int'l Co. Ltd	25, Sapele Rd., Benin City",,
". De-Newman Pharmacy Ltd	70, New Lagos Rd., Benin City",6.353261,5.627453
". Dizpharm Nig. Ltd	21, Airport R., Benin City",,
". Dunamis Pharmacy Ltd	53, Sapele Rd., Benin City",,
". Ede Pharmaceutical Co Ltd	81, Edo Textile Mill Rd., Benin City",6.358948,5.608781
". Edo Welfare Chemist Ltd	77, Mission Rd., Benin City",,
". Edoma Pharm. Ltd	1A, Omokaro Str., Off Siluko Rd., Benin City",,
". Eli-Elixir Nig. Ltd	104, Mission Rd., Benin City",,
". Elint Chemist Ltd	59, Ugbowo-Lagos Rd., Benin City",6.385362,5.609684
". Enoch Pharmacy Ltd	33, Olumuza Str., Useh Qtrs. Benin City",,
". Exclusive Pharmacy Ltd	200, Sapele Rd., Benin City",,
". Faith Chemists Ltd	105, Akpakpava Str., Benin City",,
". Family Chemists Ltd	1, Yoruba Str., Iyaro, Benin City",,
". Fasohs Ltd	112, Sakponba Rd., Benin City",,
